Word,Language
panta eneken tou,AncientGreek
umeis de douloi,AncientGreek
o prophetes,AncientGreek
alla kai,AncientGreek
propheten lalounta en,AncientGreek
meta tou etairou,AncientGreek
misountas umas kai,AncientGreek
logous dia pantos,AncientGreek
ean sitian poies,AncientGreek
baneto eime arton,AncientGreek
menei de emeran,AncientGreek
odoi duo eisi,AncientGreek
diakonous axious tou,AncientGreek
apo tou ponerou,AncientGreek
tois epi ton,AncientGreek
treis emeros ean,AncientGreek
ton anthropon eis,AncientGreek
autous phoneis teknon,AncientGreek
eukhas umon kai,AncientGreek
pseudoprophetes esti,AncientGreek
os kai to,AncientGreek
ou diallagosin ina,AncientGreek
kalesai all eph,AncientGreek
puknos de sunakhthesesthe,AncientGreek
kurios kai pantes,AncientGreek
ean theleses me,AncientGreek
soi eukharistesosin emin,AncientGreek
proseukhesthe uper ton,AncientGreek
upokriton nesteuousi gar,AncientGreek
uperidete autous autoi,AncientGreek
labon ten aparkhen,AncientGreek
oi de upomeinantes,AncientGreek
tais emerais plethunthesontai,AncientGreek
emeis aphiemen tois,AncientGreek
poton edokas tois,AncientGreek
osautos keramion,AncientGreek
kuriou phulaxeis de,AncientGreek
ta proeiremena dexasthe,AncientGreek
kai oi phthoreis,AncientGreek
theis mete aphairon,AncientGreek
tes mede eristikos,AncientGreek
tes didakhes epei,AncientGreek
apostraphese ton endeomenon,AncientGreek
eltheto kharis kai,AncientGreek
tekna apo touton,AncientGreek
ou potheseis,AncientGreek
kollethesetai e psukhe,AncientGreek
bastason apo de,AncientGreek
auton os kurion,AncientGreek
nantai keleuseis de,AncientGreek
doseis lutrosin amartion,AncientGreek
eisenegkes emas eis,AncientGreek
o didaskon strapheis,AncientGreek
khestho ei tis,AncientGreek
ekhei ten krisin,AncientGreek
mnestheti kurie tes,AncientGreek
didaskon ten aletheian,AncientGreek
mallon en,AncientGreek
os an oun,AncientGreek
euxe ous de,AncientGreek
medeis de,AncientGreek
sate arton kai,AncientGreek
erkhomenos pros umas,AncientGreek
ti en sunokhe,AncientGreek
ou lepse,AncientGreek
kheirotonesate oun eautois,AncientGreek
alla apo neotetos,AncientGreek
tos didaskalos alethinos,AncientGreek
de tou klasmatos,AncientGreek
mone mataia agapontes,AncientGreek
noi umon meta,AncientGreek
kai panta,AncientGreek
proton peri tou,AncientGreek
kron ou panton,AncientGreek
exerkhomenos de,AncientGreek
sou apo tou,AncientGreek
ton arton emon,AncientGreek
kon ekklesias me,AncientGreek
ton to kurio,AncientGreek
tai eis kheiras,AncientGreek
umin gar leitourgousi,AncientGreek
theto epeita de,AncientGreek
aute eulogeite tous,AncientGreek
alla memestomenos praxei,AncientGreek
ean agapate tous,AncientGreek
menon pro mias,AncientGreek
agiou onomatos sou,AncientGreek
eskhato kairo teleiothete,AncientGreek
lous kai dioxousi,AncientGreek
panti to,AncientGreek
teos kai athanasias,AncientGreek
eis to poneron,AncientGreek
tous aionas,AncientGreek
umas kathesai tekhnites,AncientGreek
peri toutou de,AncientGreek
pneumatos en udati,AncientGreek
estin e dunamis,AncientGreek
parodios estin o,AncientGreek
makarios o didous,AncientGreek
blasphemian mede authades,AncientGreek
ton sarkikon kai,AncientGreek
baptisthentes eis onoma,AncientGreek
toutou eireken o,AncientGreek
mede proseukhesthe,AncientGreek
ean de me,AncientGreek
emon uper tes,AncientGreek
praxeis outo poiesate,AncientGreek
pater emon o,AncientGreek
teknon mou pheuge,AncientGreek
autou ean de,AncientGreek
an ton propheton,AncientGreek
kai tote,AncientGreek
gar estin ouai,AncientGreek
logois auton,AncientGreek
esei semeia kai,AncientGreek
meta dikaion kai,AncientGreek
boon te kai,AncientGreek
pseudoprophetes,AncientGreek
sate eukharistoumen soi,AncientGreek
dounai suspon,AncientGreek
kai ton khitona,AncientGreek
su despota,AncientGreek
masmenos alethioos poion,AncientGreek
e thusia umon,AncientGreek
oude diglossos pagis,AncientGreek
tauta panta proeipontes,AncientGreek
mede pieto apo,AncientGreek
tou paidos sou,AncientGreek
ouk epitaxeis,AncientGreek
neto en outo,AncientGreek
prostheinai dikaiosunen kai,AncientGreek
mege pseudoprophetes esti,AncientGreek
en to euaggelio,AncientGreek
ou distaseis,AncientGreek
ton peraton tes,AncientGreek
ek gar touton,AncientGreek
me ekhes ekkheon,AncientGreek
kai skandalisthesontai polloi,AncientGreek
pater emon uper,AncientGreek
elegkhete de allelous,AncientGreek
ei gar en,AncientGreek
oude diakrineite pasa,AncientGreek
pro tanton,AncientGreek
tes oude arpax,AncientGreek
sunesin gar exete,AncientGreek
tenon mou,AncientGreek
pezan en pneumati,AncientGreek
ouk epithumeseis,AncientGreek
oude uperephanos,AncientGreek
tou duo ean,AncientGreek
pas de prophetes,AncientGreek
tou diaphora de,AncientGreek
touton de,AncientGreek
touto poiei,AncientGreek
phanesetai ta semeia,AncientGreek
aphilargurous kai aletheis,AncientGreek
ou moikheuseis ou,AncientGreek
pro de tou,AncientGreek
de panta to,AncientGreek
kata kuriaken de,AncientGreek
moikheiai epithumiai porneiai,AncientGreek
tolon kai propheton,AncientGreek
ginou makrothumos,AncientGreek
sen basileian en,AncientGreek
ton tessaron anemon,AncientGreek
peri de tou,AncientGreek
khristou eis tous,AncientGreek
o pas khronos,AncientGreek
kataponoumeno ou ginoskontes,AncientGreek
auxanouses gar tes,AncientGreek
tou kuriou teleios,AncientGreek
ou apodo ton,AncientGreek
theou mnesthese nuktos,AncientGreek
logeseis ou mnesikakeseis,AncientGreek
ten porneian mede,AncientGreek
tounti se didou,AncientGreek
phones salpiggos kai,AncientGreek
sumbainonta soi energemata,AncientGreek
epeide odegei eis,AncientGreek
oudepote gigonen ex,AncientGreek
ouk estai,AncientGreek
dunasai en psukhro,AncientGreek
on epraxe kai,AncientGreek
os oi upokritai,AncientGreek
mede thele auta,AncientGreek
men to labein,AncientGreek
ton kai pempte,AncientGreek
ristein osa thelousin,AncientGreek
ton plesion,AncientGreek
eis lukous kai,AncientGreek
seis de makhomenous,AncientGreek
umon me sbesthetosan,AncientGreek
setai aute de,AncientGreek
rada kai paraskeuen,AncientGreek
aute gar estin,AncientGreek
dounai oude,AncientGreek
latreiai mageiai pharmakeiai,AncientGreek
seauton oude doseis,AncientGreek
didosthai o pater,AncientGreek
phageto ei de,AncientGreek
sou mepote ou,AncientGreek
theto to thelema,AncientGreek
panton ponera esti,AncientGreek
proseukhen sou en,AncientGreek
to katalusai me,AncientGreek
ton tropon gnosthesetai,AncientGreek
allen treis de,AncientGreek
tes pseudos ou,AncientGreek
strepson auto kai,AncientGreek
dounai medeis auton,AncientGreek
ai de nesteiai,AncientGreek
umon pronoesate pos,AncientGreek
non mou me,AncientGreek
dunasthe ou menei,AncientGreek
ton anomoi kritai,AncientGreek
tis soi do,AncientGreek
me khreian ekhon,AncientGreek
proseukhesthe,AncientGreek
prosoton elegxai,AncientGreek
gia zelotupia thrasutes,AncientGreek
oti sou estin,AncientGreek
ta prosopa ton,AncientGreek
e men oun,AncientGreek
e de tou,AncientGreek
sunes ou kollomenoi,AncientGreek
ean aggareuse se,AncientGreek
ekluesthosan alla ginesthe,AncientGreek
auten en te,AncientGreek
ta paraptomata sou,AncientGreek
pismenon epano ton,AncientGreek
dioktai agathon misountes,AncientGreek
peri de tes,AncientGreek
ou miseseis,AncientGreek
eirene os ekhete,AncientGreek
umon os tuto,AncientGreek
ton eidololatreia gennatai,AncientGreek
arkhaioi prophetai,AncientGreek
ekhe latreia gar,AncientGreek
apo pantos omoiou,AncientGreek
oidos mede mathematikos,AncientGreek
ekei kurios estin,AncientGreek
miseseis pasan upokrisin,AncientGreek
psukheseis poteron estai,AncientGreek
ephania kakia authadeia,AncientGreek
ouk epiorkeseis ou,AncientGreek
onoma sou eltheto,AncientGreek
kata tou plesion,AncientGreek
didakhe kuriou dia,AncientGreek
semeion ekpetaseos en,AncientGreek
ton nephelon tou,AncientGreek
khreian ekhon lambanei,AncientGreek
tris tes,AncientGreek
emin dia iesou,AncientGreek
osper en,AncientGreek
dos moi arguria,AncientGreek
gurion aite pseudoprophetes,AncientGreek
akakos kai esukhios,AncientGreek
tizon kai o,AncientGreek
oidate ten oran,AncientGreek
ne sou eis,AncientGreek
arguriou de kai,AncientGreek
katharan oti basileus,AncientGreek
estin o tou,AncientGreek
iesou tou paidos,AncientGreek
ei men gar,AncientGreek
ton apanton phonoi,AncientGreek
kai aphes,AncientGreek
deutera de,AncientGreek
ouk upsoseis,AncientGreek
ekzeteseis de,AncientGreek
astokhounti kata tou,AncientGreek
all ean ekhe,AncientGreek
ton thlibomenon plousion,AncientGreek
ta tais psukhais,AncientGreek
gregoreite uper tes,AncientGreek
onoma patros kai,AncientGreek
kardiais emon kai,AncientGreek
samenoi ta paraptomata,AncientGreek
osanna to uio,AncientGreek
tai khristianos,AncientGreek
opsetai o kosmos,AncientGreek
teknon mou,AncientGreek
ou klepseis ou,AncientGreek
meta de to,AncientGreek
dexe eidos oti,AncientGreek
ginou pseustes epeide,AncientGreek
tote exei,AncientGreek
phetais autoi gar,AncientGreek
dexasthe auton os,AncientGreek
doma ouk eleountes,AncientGreek
par umon akoueto,AncientGreek
kaia agrupnountes ouk,AncientGreek
sthai auten apo,AncientGreek
soi oti dunatos,AncientGreek
zusammengefugt werden,German
voraussetzungen des,German
umstandes dass von,German
stiftungsbetrieben,German
solchen zweigen der,German
unschlussig blieb,German
kette die klirrend,German
erstens dass auch,German
ergebnis und,German
extrafeines ist denn,German
aufkratzen dass sie,German
wusste sie wurde,German
verloren ist und,German
die unentbehrlichkeit eines,German
dieser senat erstmalig,German
unwillkurlich schmiegt sie,German
fur zeiss hat,German
oder als untergebener,German
interesse ausschliesslich auf,German
d neunstundentag,German
gefunden dessen einschlagige,German
april april,German
wirtschaftsverhaltnissen den trager,German
dass ich die,German
gegensatz bliebe zu,German
vertragspunkt die,German
bekanntlich werden,German
eingekauft ist zugunsten,German
den saumsattel aufgeschnallt,German
sie sich oben,German
grossere soziale aufgaben,German
ich kann hier,German
sidenote ausschluss des,German
zuruckschaut oder ob,German
zur stiftung,German
vernunftigerweise aussere ordnungsstorung,German
funktionen ausuben welche,German
wie namentlich die,German
mutter war,German
werden konnten,German
direkten verkehr zu,German
erbarmende menschenliebe die,German
zur sprache bringe,German
auch sie wurden,German
angedeutete direktive fur,German
erwachst oder im,German
insbesondere das,German
grosses schwarzes buch,German
dann geht es,German
mussen sich auch,German
bleiben habe von,German
betrachten zu konnen,German
wurdigung aller sachlichen,German
einzuholen,German
stiftungsangelegenheiten ubertragen,German
wochenschr,German
als organe der,German
fur einzelne,German
sie richtig antwortet,German
titel ii diesen,German
gesamtheit der einzelnen,German
notig und wie,German
gebirges vom vorigen,German
industriellen arbeit zum,German
faktoren lediglich die,German
dass sie zu,German
beruhren und die,German
erleichterungen nicht eintreten,German
deren fortdauer eine,German
masse nach beschrankteren,German
veranlasst und geleitet,German
auf den ganzen,German
eine gemeinde das,German
darstellung der von,German
auf dem boden,German
dann lass uns,German
der arbeiter empfohlen,German
staatsbeamten und im,German
kapital als arbeitsfaktor,German
unserem betriebe tatig,German
gelegentlich sich ergeben,German
die beiden,German
im durchschnitt von,German
stiftung fur den,German
erzeugt die ausgesprochene,German
grenzen zu steigern,German
was auf hebung,German
ingleichen muss die,German
mitglieder einer geschaftsleitung,German
abgeschnitten auf,German
so fahren,German
optik zur behandlung,German
anderes mehr ist,German
bereitstehen um die,German
umsatzbesteuerung fur den,German
enthalten ist und,German
der hiesige,German
wenn man mich,German
was noch mehr,German
vorbehalt gewahrt oder,German
verpflichtungen der firma,German
massgabe der ~unter,German
der verwendung fur,German
nicht wie sogar,German
gewinnes schliesslich abhangt,German
schlechten gesetze an,German
dem obersten strickbausch,German
verbot des lehrlingszuchtens,German
angenommen,German
lande stattgefunden haben,German
nationalvermogens jahrlich aufgebracht,German
aufschlag von,German
da sprang,German
grundlage des vorgehens,German
treten nach erfolgter,German
waren aber die,German
allgemeine beschrankung alles,German
die schellenkuh brullt,German
erreicht und bei,German
leitung der ganzen,German
durch unsachliche rucksichten,German
hin gedeckt werden,German
diese entschadigung besteht,German
im kuhstall,German
stiftungsbetriebe und des,German
eine ganzlich andere,German
im zeitlohn,German
arbeitszeit knupfen sind,German
zwar niemals suchen,German
wesentliche bedingung fur,German
das realgymnasium damals,German
die zusammen werte,German
unbelasteten betriebskapitals der,German
geschehen in dem,German
er kommen musste,German
im auge und,German
hier an den,German
fruhere bemessung erfolgte,German
noch nicht vorgekommen,German
tatigkeit sind,German
interessenkreis der betriebe,German
vermogens bei den,German
ich wunsche,German
nun fuhlten sie,German
manches was fur,German
ausgetreten,German
jede verlangte wirkung,German
stecken uber ihnen,German
erhoben wissen,German
durchschnitt irgendwo sonst,German
jeder arbeiter,German
anderen interessen schwer,German
gearbeitet haben,German
und in der,German
aber bezeugt durch,German
entnehme ich also,German
verkehr sind von,German
selbstverstandlich aber,German
veranlassung seitens des,German
gewahren durfen,German
detailpreisen seinen mitgliedern,German
auf dem glauben,German
dieses verhaltnis wurde,German
sidenote verlegung der,German
system nehmen so,German
vorschriften der gesetze,German
solange andere,German
zeiss ist sehr,German
naturgemassen entwicklung der,German
geschicklichkeit und praktische,German
sidenote ubertragbarkeit des,German
hebung des volkes,German
technischer erzeugnisse in,German
moglichkeit nicht auszuschliessen,German
fussnote die,German
dieses statuts den,German
die jener seine,German
innerhalb des betriebes,German
werden durch die,German
oben drauf,German
zusammenwirken der einzelnen,German
personen ubles im,German
ganzen einverleiben,German
zuschuss,German
halblaut,German
dieses gelegentlich auch,German
abgeknappst wird es,German
votum dieser vorstandsmitglieder,German
gegenseitig und jedesmal,German
arbeiterschaft aufreibender geworden,German
umsatz durch ortsstatut,German
einen fast idealen,German
wildtauben,German
deshalb habe ich,German
mitglieder jetzt,German
redlich bemuhten die,German
den industrieund,German
leute die,German
fragestellung liegt tatsachlich,German
nein die,German
auf dispos,German
zur erorterung der,German
arbeiterkreisen hier schon,German
hinausgeschossen,German
und sidsel konnte,German
politisches,German
september in,German
allein war stark,German
diese ermudung die,German
dass die,German
wie sich am,German
pradikat gut bezeichnet,German
dass ihre vater,German
vollzogen,German
armen zum leben,German
einige wie,German
verbesserung der mikroskope,German
durch kurzung des,German
volliger physischer und,German
suchte sondern gerade,German
ordentlich in eine,German
der prozentsatz dieses,German
waren musste die,German
erfullt erstens wenn,German
ist der gesamte,German
fortentwickelt hat nicht,German
uberhaupt nicht daran,German
nur beschrankungen keine,German
dritter band,German
abgesehen,German
stiftungsbetriebe jeweils sich,German
sie damit beinahe,German
gesamtheit der daran,German
schliesst,German
welche dieser spezifische,German
partei war,German
als obere beamte,German
freiheitsbeschrankung welche das,German
diesen konservativen die,German
zu konnen als,German
des jahres muss,German
polizeibehorden bestimmt,German
einberufen worden war,German
keine einzahlung gibt,German
denn viel,German
verpflichtet oder angehalten,German
konnen daher nur,German
reisighaufen und auf,German
tischler,German
eine einwirkung der,German
schnitzen da soll,German
zunachst will ich,German
mit sicherheit des,German
sitzen bleiben bis,German
die quelle eines,German
die ein moment,German
geschaftsleitung,German
in vielen punkten,German
nein was du,German
bestritten wurde sowie,German
unter diese fragestellung,German
sidenote notwendigkeit der,German
das ist sage,German
unternehmer fur solchen,German
nach allen richtungen,German
statuts gleichfalls in,German
schaffen dass sie,German
lars svehaugen,German
mitinhabern der firma,German
einzelarbeit bleiben muss,German
des herbe klingenden,German
weil in wegfall,German
sidsel steht oben,German
insoweit aber,German
hiesigen pensionseinrichtung dass,German
versuchte ganz frech,German
abgestumpft wird d,German
und sekundare nutzungswert,German
die genannten gelegenheitserzeugnisse,German
der allgemeinen wehrpflicht,German
sie bewirtete,German
wird die uberhaupt,German
und eins nach,German
menschen und bedeutet,German
patente uberhaupt niemals,German
fortgesetzt die neuen,German
nationalvermogens abhangig geworden,German
nur mit der,German
ergebenden pflichten wegen,German
unsere beobachtungen,German
industrie das ausserste,German
majoritat der arbeitstatigen,German
nachteil setzte gegenuber,German
es genugt auf,German
indem man diese,German
diese freiheit von,German
departement des grossherzogl,German
wir sind keine,German
grosseren aufgaben im,German
ausschliesslich solche gewahlt,German
hinsichtlich der technischen,German
einstimmige votum der,German
jon wollte auch,German
aber fur,German
massnahme nicht nur,German
funkelnagelneue frieskleider an,German
wirtschaftlichen verhaltnis zwischen,German
der befugnisse der,German
pro jahr,German
ganzlich auf die,German
deshalb arbeitete,German
sidsel sitzt,German
da aber diese,German
im anfang ist,German
geschaftskassen empfangen und,German
vernunftig sondern unter,German
schwanken konne,German
mir gelingen moge,German
fortbesteht die,German
allen die,German
zusammenwirken von wissenschaft,German
und befestigung der,German
zuerst eingefuhrt hat,German
wachstum nicht bestimmt,German
langsam schlenderten,German
und landtag sind,German
interesse aber welches,German
selbst darstellt infolge,German
diese frage,German
haben muss,German
wahib nagu naeks,Estonian
ilmaga asja tulge,Estonian
jumala ainuuksi,Estonian
suurelreedel sa,Estonian
minnes muutub,Estonian
ara teewad,Estonian
sina minu kaest,Estonian
ja tammaru,Estonian
alles waljas leiawad,Estonian
kinnitanud tuline rongas,Estonian
kes teab,Estonian
tiina argpuksiks ma,Estonian
perenaene jah pelga,Estonian
margus surub tiina,Estonian
tulesse kasteheinad kesale,Estonian
akki erutatult,Estonian
soputele sulgesida,Estonian
margus laheb enam,Estonian
see teenib,Estonian
mann ennast ema,Estonian
tagasi saanud,Estonian
wanaema hirmul ei,Estonian
perenaene alamottega eks,Estonian
ikka et sul,Estonian
sa naist wotta,Estonian
ennast tuhi laimujutt,Estonian
sargikesi pidin ma,Estonian
liigetie loogetie,Estonian
perenaene pahaselt no,Estonian
perenaesega minema,Estonian
laps waatab perenaese,Estonian
koik see,Estonian
tule koju tunne,Estonian
olema nuud nuud,Estonian
tugewam woi terwem,Estonian
kui siiski,Estonian
kuna teised nende,Estonian
neiud keskel teewad,Estonian
labisegi puha teretamine,Estonian
halastust ilmas ei,Estonian
teawad et ta,Estonian
kus ma abi,Estonian
tulewalgusest pimestatud silmadega,Estonian
ja peo paalt,Estonian
sammsammul ette tulewalguse,Estonian
mari wahe aja,Estonian
tuppa selgesti on,Estonian
epp kes sinna,Estonian
perenaene valjult ara,Estonian
wanaema sest et,Estonian
siis selle waikuse,Estonian
peremees ahwardawalt no,Estonian
tiina waenulikult ei,Estonian
mats su oma,Estonian
tuttawate seltsis aeg,Estonian
mari alandlikult mis,Estonian
margus mari,Estonian
meil arwati,Estonian
peremees aastane,Estonian
koole ara koguni,Estonian
mina kull,Estonian
mis sellel,Estonian
suda jalle kergeks,Estonian
poisid labisegi,Estonian
lawe paal,Estonian
werejanu ja murdmise,Estonian
kuidas noida ja,Estonian
nuud olen ma,Estonian
tiina kohkunult mari,Estonian
waatad ja,Estonian
kuulatama kellega sa,Estonian
waatab kus mu,Estonian
tiina tootad ainult,Estonian
tiina tule margus,Estonian
margus ara karda,Estonian
tiina jatkates ikka,Estonian
peremees tahaks,Estonian
sind ei taha,Estonian
margus kargab ules,Estonian
peremees ennast ara,Estonian
wanaema mina ei,Estonian
tammaru peremees ja,Estonian
margus teeb liigutuse,Estonian
midagi koik kordub,Estonian
tule tuhin,Estonian
margus poorab tusaselt,Estonian
maha ja hoiab,Estonian
jaanus kes aegajalt,Estonian
mari hoolimatalt jaa,Estonian
margus ette poole,Estonian
ja rihmadega pastlad,Estonian
mari ah margus,Estonian
laps waatab temale,Estonian
margust juba maastmadalast,Estonian
mann hirmul hunt,Estonian
perenaenc naib,Estonian
tudruk mis,Estonian
jaanus alamottega kes,Estonian
perenaene nojah kui,Estonian
poiss mari,Estonian
mart ma lahen,Estonian
peremees ja,Estonian
wanaema aastane,Estonian
nuud nuta pureledes,Estonian
juurt mu suhu,Estonian
margus tiina tiina,Estonian
ruttu kulm tungib,Estonian
seadi jalad jooksemaie,Estonian
margus on tiinale,Estonian
perenaene mis su,Estonian
epp tujukalt soo,Estonian
peremees margusele kes,Estonian
kasa silmade ette,Estonian
kui sind,Estonian
ei kuule,Estonian
ei woi ju,Estonian
pahkliperemees sorgsaba,Estonian
teda toitsid ja,Estonian
tiina seda kuulen,Estonian
karja haljast heina,Estonian
mart su paris,Estonian
ta korraga teie,Estonian
lohkus koie otsas,Estonian
margus pureledes kas,Estonian
ei nainudgi,Estonian
murki olete,Estonian
margus aritatult mis,Estonian
maru siis tuiskab,Estonian
paneb ja tulejale,Estonian
margus kull oled,Estonian
silmas kes tagapoolt,Estonian
tiina arewil mis,Estonian
nukukene noorukene,Estonian
need sunni paari,Estonian
nalginud endisest ilust,Estonian
enam inimesi kogub,Estonian
millest meelmoistus jagu,Estonian
mari kohkunud nouta,Estonian
ja paari,Estonian
sooja saama ja,Estonian
nagu teised koik,Estonian
jaanus tuleb jalgu,Estonian
ettewaatlikult astudes nahtawasti,Estonian
ja lusika ja,Estonian
perenaene kui suureks,Estonian
tiina akisti uhe,Estonian
perenaene issand jumal,Estonian
jaanus jah suudi,Estonian
ole ju tosi,Estonian
mari koige suuremas,Estonian
minu ema,Estonian
peremees ha asjata,Estonian
metsa ara,Estonian
ei midagi,Estonian
laps ahju paal,Estonian
tule woi,Estonian
peremees kes teda,Estonian
neid noutakse,Estonian
margus seisab norus,Estonian
tiina silmi kuiwatades,Estonian
olid sina ja,Estonian
nuud uksteisele,Estonian
tiina ei lase,Estonian
nukul kangas kamberissa,Estonian
margus oskan jah,Estonian
mari rutuga umberwisatud,Estonian
olade toetab sawikule,Estonian
tiina koju juba,Estonian
peremees ja perenaene,Estonian
ulewoolawas arduses,Estonian
rabade taga kust,Estonian
mina poisikese polwest,Estonian
margus wahib weel,Estonian
tiina ma ei,Estonian
margus minu jumal,Estonian
waikin nagu seni,Estonian
elaw liikumine,Estonian
nooremad poisid kannawad,Estonian
margusel pikad,Estonian
sotkub woki,Estonian
kaed kokku,Estonian
kilkawad jaanike,Estonian
tiina selleparast et,Estonian
mari kurja ei,Estonian
mari kelle parast,Estonian
kes noia,Estonian
puutuwad ei suudamari,Estonian
kae pihku wotta,Estonian
inimesi tuleb uhtelugu,Estonian
sawiku lahedal istub,Estonian
mari aralt kas,Estonian
siis lahen kesa,Estonian
mari umberpoordes see,Estonian
tahaks olla metsas,Estonian
tiina nutt muutub,Estonian
tiina seni olime,Estonian
margus on aritatud,Estonian
perenaene rumal see,Estonian
mari mina olen,Estonian
jaanus jah tana,Estonian
kuidas huntide hulumine,Estonian
mann piilub,Estonian
margus meeleheitmisel tema,Estonian
kui see korda,Estonian
akki kraapimine,Estonian
wanaema wahel puhates,Estonian
peremees jah lapse,Estonian
halba usud sina,Estonian
walja igawene jumal,Estonian
mann mari,Estonian
tiina pahnipalu paale,Estonian
paew juba,Estonian
ega worgul kinni,Estonian
margus mis me,Estonian
perenaene jah kui,Estonian
margus naerdes noorikuks,Estonian
ole kui niisugust,Estonian
mann weerib wiiisi,Estonian
mine laanta laiutama,Estonian
mann kilgates ja,Estonian
tiina ja mari,Estonian
kelle kulge,Estonian
peremees tombab korraks,Estonian
mann sudikalt ei,Estonian
minu juure tulid,Estonian
ega neil,Estonian
waja juustest kiskuda,Estonian
kaes jaab margust,Estonian
silmapilguks piinlik waikus,Estonian
peremees kargab ules,Estonian
temal aega,Estonian
tagaseinas suur,Estonian
toitnud ja katnud,Estonian
midagi isearalist ei,Estonian
korraga oues huntide,Estonian
ehi enda ehtemile,Estonian
saal sirutab,Estonian
olema aga see,Estonian
wananaene ja mets,Estonian
jaab motlema,Estonian
jaanus habemataks lahewad,Estonian
wellekesed oliwad naljas,Estonian
lahme paale,Estonian
jooksnud kull,Estonian
kas sind,Estonian
nainud ja kinnitan,Estonian
lahen poorab minema,Estonian
tiina tarretus,Estonian
margus see ei,Estonian
ahju suu,Estonian
huuled liiguvad weel,Estonian
kuuldawale,Estonian
kinni peab kui,Estonian
margus ja kes,Estonian
inimeseks muuta saab,Estonian
meie olime,Estonian
ma nagin kuidas,Estonian
siis ikka,Estonian
margus kuhu sa,Estonian
epp jassile mis,Estonian
kihelkonna teisel piiril,Estonian
maekarwa mannikarwa,Estonian
seda ei kanguta,Estonian
juustes ja habemes,Estonian
wanem inimene ara,Estonian
korge ja moni,Estonian
mari ara sega,Estonian
eemalt on,Estonian
tiina on,Estonian
ega see jaaniohtu,Estonian
eemale seda utled,Estonian
tagapool metsas on,Estonian
kui siis,Estonian
neid ei noutud,Estonian
mari tuleb rehetoast,Estonian
jaanus on,Estonian
ja saal koneldakse,Estonian
seletamine,Estonian
juba ette,Estonian
rehealune,Estonian
ka tiina,Estonian
oigust ja enam,Estonian
oled ju kowaks,Estonian
jass woi sa,Estonian
koikasse kasuka alla,Estonian
teed leidma me,Estonian
mari nuttes oh,Estonian
hallikas ja koobas,Estonian
peremees margust karmilt,Estonian
aga margus,Estonian
libahunt on,Estonian
mart puudma,Estonian
tudrukud labisegi nukku,Estonian
perenaene saite ikka,Estonian
tuhatkorda hunt hunt,Estonian
piinlik waikus,Estonian
mari mardiga,Estonian
mina andsin,Estonian
ringisolejad hoiawad,Estonian
suitsunud laest rippuwad,Estonian
perenaene ammu oleks,Estonian
sulle kallale,Estonian
oled sa ometi,Estonian
jaanus hakkab uksepulgast,Estonian
perenaene margusega tulise,Estonian
ja laheb tuppa,Estonian
kui teie hunt,Estonian
tiina ilmub tagurpidi,Estonian
moisa ja kirikukirja,Estonian
waga karisenud,Estonian
jaanus meelimael olla,Estonian
tahate naer,Estonian
haokandja poisikestele,Estonian
kes teab kunas,Estonian
poolringi,Estonian
us sio so,Estonian
tiina waatab paluwate,Estonian
ahju ees,Estonian
winderdie wanderdie,Estonian
metsa jooksed,Estonian
ukse paal,Estonian
margus piinatult mis,Estonian
poiss kas,Estonian
paale waadanud,Estonian
meeleheitlikult koigest sest,Estonian
mari mis sina,Estonian
ei teeeks sa,Estonian
soowad ju sudame,Estonian
oraw tsuktsuk,Estonian
margus kull saab,Estonian
supplicia facile posse,Latin
ei nares et,Latin
tulerimus in eo,Latin
at inventio,Latin
totum devoravit iterumque,Latin
bina in die,Latin
nobis inventa spectabamus,Latin
lassa conciderent ac,Latin
postero die pater,Latin
praeter pudorem publice,Latin
bellicosis catulastri maturius,Latin
quomodo mortem,Latin
se porcum modo,Latin
conviva hanc fabulam,Latin
ex india,Latin
eo itaque,Latin
ego aliquam,Latin
iure putaveris nos,Latin
suas convasare parataque,Latin
ordine stabant lagenulae,Latin
in stellionem,Latin
dromonis a puppi,Latin
magis fidem amici,Latin
apage clamat schwartz,Latin
athenis quidam provectae,Latin
maioris praemii accipiendi,Latin
quod tam bene,Latin
species mascula foeminam,Latin
mihi cordi erat,Latin
indus litteras per,Latin
quum vero schwartz,Latin
quidem nullum esset,Latin
equidem vero putabam,Latin
stabiliatur,Latin
hirundinibus appellant sed,Latin
egentem domum esse,Latin
navicularii ducebatur ex,Latin
quod facultate praeditum,Latin
cauda eius,Latin
quis me emere,Latin
habitu tam domestico,Latin
iam volgiolus in,Latin
iam forum et,Latin
spectatores et in,Latin
quandoquidem cogitata interire,Latin
equitum peditumque catervae,Latin
bello siculo gabienus,Latin
caeli inquam depelle,Latin
ipse hoc,Latin
illa scribentis capiti,Latin
picta publius,Latin
admirantibus omnibus adulescens,Latin
quae cum fratres,Latin
ritu pervigilare maloneque,Latin
et puto vos,Latin
experrectus lunam candore,Latin
paullo post,Latin
rebus spectatis defessus,Latin
de quibus,Latin
moritur simulate dumtaxat,Latin
paullo ante,Latin
puer procax,Latin
maxima sed est,Latin
nunc observavi canem,Latin
miserum aspectum,Latin
nec mihi persuadere,Latin
alii enim,Latin
novas scaturigines germinare,Latin
porro bullulae,Latin
iterum alia,Latin
congressum illum victum,Latin
signum fortasse,Latin
alterae sunt cellae,Latin
loquendum ex desperatione,Latin
non ad me,Latin
naturas recte exposuit,Latin
